"Sent Index","Mention Index/Total","Sentence","Mention","Mention Head","Head POS","Label->Gov"
"1","0/1","In January 2012 , he debuted <a>XXXX</a> , Not My Mama 's Meals , on the Cooking Channel , in which he tweaks his mother 's recipes to recreate them in a healthier manner .","his own cooking show","show","NN","dobj -> debuted"
"2","0/1","In 1935 , <a>XXXX</a> moved to Maximilien Luce 's old studio on the Avenue du Maine in Paris .","he","he","PRP","nsubj -> moved"
"3","0/1","In 2008 , <a>XXXX</a> advanced to the national championship game , their first under his leadership .","Calipari 's Tigers","Tigers","NNP","nsubj -> advanced"
"4","0/1","In 2004 Martin Gallon , the British fine art expert , commented `` His close attention to detail is reminiscent of the work of the Pre-Raphaelites whose principal aim was to paint from nature as closely as possible ; in Ramsay 's work , one can see resonances of this aim , <a>XXXX</a> challenges our senses .","yet its simplistic beauty and close observation","beauty","NN","nsubj -> challenges"
"5","0/1","In 2005 , <a>XXXX</a> was listed as one of the top designers and architects by Western Interiors and Design magazine and was included in the top 100 list of American Interior Designers by House Beautiful magazine .","Brown","Brown","NNP","nsubjpass -> included"
"6","0/1","In September 1874 , <a>XXXX</a> was elected unopposed to the Legislative Council 's Geraldton seat , on a policy platform of opposition to responsible government .","Brown","Brown","NNP","nsubjpass -> elected"
"7","0/1","By 1926 <a>XXXX</a> handled press relations for their Banff Springs Hotel .","he","he","PRP","nsubj -> handled"
"8","0/1","He married in 1925 at the age of 19 , and had a son , <a>XXXX</a> , the following year .","Lev","Lev","NNP","appos -> son"
"9","0/1","In 2008 , Mayall was awarded an honorary Doctor of Letters <a>XXXX</a> from the University of Exeter .","-LRB- DLitt -RRB-","DLitt","NN","appos -> Letters"
"10","0/1","<a>XXXX</a> made his Sunderland debut in a 2 -- 2 draw against Birmingham City on 15 August 2010 , and was named man of the match for his performance .","Mignolet","Mignolet","NNP","nsubjpass -> named"
"11","0/1","McGavin died in Chicago , <a>XXXX</a> , December 17 , 1940 .","Illinois","Illinois","NNP","appos -> Chicago"
"12","0/1","During his business trips to New York to finance his internal improvements program , <a>XXXX</a> became acquainted with Julia Phelps and the two married on November 1 , 1838 .","Mason","Mason","NNP","nsubj -> became"
"13","0/1","<a>XXXX</a> starred in the 2010 remake of A Nightmare on Elm Street , released on April 30 , 2010 .","He","He","PRP","nsubj -> starred"
"14","0/1","Offensive coordinator Mike Martz was commonly criticized for aggressive play-calling in 2011 , and <a>XXXX</a> led to Cutler getting repeatedly sacked , including an incident in Week 2 against the New Orleans Saints , in which Cutler was sacked 6 times , and was also kicked in the throat .","the calls for a pass-happy offense","calls","NNS","nsubjpass -> kicked"
"15","0/1","He graduated in 1946 ; Drexel later honored <a>XXXX</a> with many alumni awards .","him","him","PRP","dobj -> honored"
"16","0/1","In October 2005 , Watterson answered <a>XXXX</a> .","15 questions submitted by readers","questions","NNS","dobj -> answered"
"17","0/1","In 1924 , she participated in an international convention in Hastings and St Leonards-on-Sea organized by Princess Karadja , <a>XXXX</a> .","founder of the White Cross Union","founder","NN","appos -> Karadja"
"18","0/1","Padraig was loaned out to Crusaders <a>XXXX</a> through the 96-97 season , and scored his only goal for the club in the 1996 -- 97 Irish League Cup Final against Glentoran , in a game which finished 1-0 .","midway","midway","NN","dobj -> loaned"
"19","0/1","Mandoza also won in five of the ten categories at the 2001 Metro Music Awards : Best Kwaito Artist , <a>XXXX</a> , Best Album , Best Styled Artist and Song Of The Year .","Best Male Vocalist","Vocalist","NN","appos -> Artist"
"20","0/1","He took an active part in planning and preliminary negotiations for the Round Table Talks in 1989 , in which <a>XXXX</a> also participated .","he","he","PRP","nsubj -> participated"
"21","0/1","<a>XXXX</a> was sent with a fourth round draft pick in 2010 in exchange for defenceman Mike Van Ryn .","He","He","PRP","nsubjpass -> sent"
"23","0/1","6 days later , she received her 13th consecutive award of Penyanyi Wanita Paling Popular 2009 <a>XXXX</a> and the overall category award , Bintang Paling Popular 2009 -LRB- Most Popular Artist of 2009 -RRB- from Anugerah Bintang Popular Bintang Harian 2009 with votes from over 225 300 votes from the readers of Berita Harian .","-LRB- Most Popular Female Singer 2009 -RRB-","Singer","NNP","appos -> Popular"
"24","0/1","On October 16 , 1977 , he scored <a>XXXX</a> in a 2-1 victory over China .","his lone national team goal","goal","NN","dobj -> scored"
"25","0/1","In 1981 , <a>XXXX</a> was nominated for a Juno Award in the category of Most Promising Female Vocalist of the Year , but lost to Carole Pope .","Heatherington","Heatherington","NNP","nsubjpass -> lost"
"26","0/1","By the end of the 1903 season <a>XXXX</a> ranked among the NL 's top ten career leaders in hits and at bat s , though he would drop from among the leaders before his playing career ended .","he","he","PRP","nsubj -> ranked"
"27","0/1","On 13 February 2008 <a>XXXX</a> was announced that he would go on loan to Swiss side FC Sion until 31 December 2008 .","it","it","PRP","nsubjpass -> announced"
"28","0/1","<a>XXXX</a> concentrated on his constituency work and was returned in every election he stood until he retired in 1981 , his son Dick then successfully contesting the seat .","Spring","Spring","NN","nsubjpass -> returned"
"29","0/1","<a>XXXX</a> is an Italian politician and statesman .","Romano Prodi -LRB- ; born 9 August 1939 -RRB-","Prodi","NNP","nsubj -> politician"
"30","0/1","In July 2006 , Vidkid Timo and Philip Eric celebrated their fifth anniversary by flying to Toronto and getting married -LRB- since <a>XXXX</a> are legal there -RRB- .","same-sex marriages","marriages","NNS","nsubj -> legal"
"31","0/1","In 2000 he moved to the Department of Chemistry and Biochemistry at the University of California , San Diego as the Francis Crick Chair in the Physical Sciences at UCSD and in addition to continuing his work on many body chemical physics , protein folding and structure prediction , <a>XXXX</a> is also studying stochastic aspects of cell biology .","he","he","PRP","nsubj -> studying"
"32","0/1","<a>XXXX</a> graduated in June 1964 , Cum Laude , with a Bachelor of Music Degree , majoring in music theory , and with a minor in oboe .","He","He","PRP","nsubj -> graduated"
"33","0/1","In 1938 , <a>XXXX</a> also released .","she","she","PRP","nsubj -> released"
"34","0/1","He did not receive very much ice time in Boston and consequently the Bruins ended up trading <a>XXXX</a> to the Winnipeg Jets for Morris Lukowich on February 4 , 1985 .","him","him","PRP","dobj -> trading"
"35","0/1","For example , the 1958 book The Soviet School of Chess -LRB- which <a>XXXX</a> co-wrote with Mikhail Yudovich -RRB- stated that '' The rise of the Soviet school to the summit of world chess is a logical result of socialist cultural development . ''","he","he","PRP","nsubj -> co-wrote"
"36","0/1","<a>XXXX</a> -LRB- born March 5 , 1986 -RRB- is an American television and film actor and screenwriter .","Jason Fuchs","Fuchs","NNP","nsubj -> television"
"37","0/1","<a>XXXX</a> died in 1989 at the age of 18 from asphyxiation .","His son Eli , also from his first marriage ,","son","NN","nsubj -> died"
"39","0/1","In 2003 , <a>XXXX</a> received from USA Today a Rudy Award as the Best New Face in Sports Television .","she","she","PRP","nsubj -> received"
"40","0/1","In 1974 , the inaugural year of The Players Championship , <a>XXXX</a> finished in 9th place .","Pearce","Pearce","NNP","nsubj -> finished"
