"Sent Index","Mention Index/Total","Sentence","Mention","Mention Head","Label->Gov"
"2","0/1","After battering three slumping opponents during their recently completed 9-1 home stand , <a>XXXX</a> had to wonder might happen when they took their act on the road against one of the National League 's elite teams .","the Mets","Mets","nsubj -> had"
"3","0/1","<a>XXXX</a> evacuated hundreds of its patients on Friday and shut down all but emergency services after scores of anti-government protesters pushed their way inside and roamed the halls in what they said was a hunt for soldiers who might be hiding there .","A major hospital in Bangkok","hospital","nsubj -> shut"
"4","0/1","A major hospital in Bangkok evacuated hundreds of its patients on Friday and shut down all but emergency services after scores of anti-government protesters pushed their way inside and roamed the halls in what <a>XXXX</a> said was a hunt for soldiers who might be hiding there .","they","they","nsubj -> said"
"6","0/1","After years of seeing major companies flee Los Angeles , local officials marshaled a host of incentives and invested more than a year of effort to convince <a>XXXX</a> to locate its U.S. headquarters here .","a major Chinese high-tech firm","firm","dobj -> convince"
"7","0/1","After being compared to excrement by District Attorney Steve Cooley , the prosecutors ' union president said Friday he will step down next week to ease tensions and help the union reach <a>XXXX</a> .","a contract with Cooley","contract","dobj -> reach"
"8","0/1","<a>XXXX</a> broke out in two North Caucasian republics on Saturday , as militants attacked gatherings on May Day , a revered Soviet holiday that still draws flocks of Russians to public celebrations .","Violence","Violence","nsubj -> broke"
"9","0/1","When the regent of this coastal rice-growing region on the island of Java first toured China as part of an official delegation , <a>XXXX</a> went wide .","his eyes","eyes","nsubj -> went"
"10","0/1","Here was the future , <a>XXXX</a> thought : skyscrapers and humming factories and grand highways .","he","he","nsubj -> thought"
"11","0/1","`` They say that history repeats itself , '' said Shauna Simpson , standing outside this town 's only retail business , the Marysville House , a bar and <a>XXXX</a> .","restaurant","restaurant","appos -> House"
"12","0/1","`` I say , ` Let <a>XXXX</a> . '' '","it","it","dobj -> Let"
"13","0/1","`` <a>XXXX</a> say that history repeats itself , '' said Shauna Simpson , standing outside this town 's only retail business , the Marysville House , a bar and restaurant .","They","They","nsubj -> say"
"14","0/1","`` <a>XXXX</a> say , ` Let it . '' '","I","I","nsubj -> say"
"15","0/1","A Saturday , <a>XXXX</a> .","11 a.m. Seniors ' hour at the diner","hour","appos -> Saturday"
"16","0/1","A Saturday , <a>XXXX</a> .","11 a.m. Seniors ' hour at the diner","hour","appos -> Saturday"
"17","0/1","On the same day Newsweek magazine anointed Gov. Rick Perry on its cover as a conservative icon , his Democratic opponent , Bill White , was slogging through small-scale campaign stops here in a Republican stronghold , needling <a>XXXX</a> , saying he paid more attention to his career than to bread-and-butter issues like schools .","the governor","governor","dobj -> needling"
"19","0/1","India 's Roman Catholic Church leadership is planning to enforce <a>XXXX</a> , following a meeting of the country 's top bishops in southern India last week , a church spokesman said .","a zero-tolerance policy against abusive priests","policy","dobj -> enforce"
"20","0/1","In the wealthy , northern suburbs of this city , where summer temperatures often hit the high 90s , just 324 residents checked the box on their tax returns admitting that <a>XXXX</a> owned swimming pools .","they","they","nsubj -> owned"
"21","0/1","Pope Benedict XVI on Saturday took control of the Legionaries of Christ , a powerful and wealthy Roman Catholic religious order whose founder , <a>XXXX</a> , was found to have molested seminarians and fathered several children .","a close friend of Pope John Paul II","friend","appos -> founder"
"22","0/1","<a>XXXX</a> took control of the Legionaries of Christ , a powerful and wealthy Roman Catholic religious order whose founder , a close friend of Pope John Paul II , was found to have molested seminarians and fathered several children .","Pope Benedict XVI on Saturday","XVI","nsubj -> took"
"23","0/1","With oil gushing into the Gulf of Mexico unabated and officials giving <a>XXXX</a> , towns along the Gulf Coast braced Saturday for what is increasingly understood to be an imminent environmental disaster .","no indication that the flow can be contained soon","indication","dobj -> giving"
"24","0/1","With oil gushing into the Gulf of Mexico unabated and officials giving no indication that <a>XXXX</a> can be contained soon , towns along the Gulf Coast braced Saturday for what is increasingly understood to be an imminent environmental disaster .","the flow","flow","nsubjpass -> contained"
