"Index","Sentence","Mention","Head","Gov","Type Label"
"1","'' -LRB- AP Photo \ \ \ \ / Tom Gianni , File XXXXX . ''","File -RRB- less CHICAGO -LRB- AP -RRB- -- A Chicago businessman was sentenced to 14 years in prison Thursday for providing material support to overseas terrorism , including a Pakistani group whose 2008 attacks on Mumbai , India , left more than 160 people dead","File","Gianni","appos"
"1","'' -LRB- AP Photo \ \ \ \ / Tom Gianni , File -RRB- less CHICAGO -LRB- XXXXX -- A Chicago businessman was sentenced to 14 years in prison Thursday for providing material support to overseas terrorism , including a Pakistani group whose 2008 attacks on Mumbai , India , left more than 160 people dead . ''","-LRB- AP -RRB-","AP","CHICAGO","appos"
"1","'' -LRB- AP Photo \ \ \ \ / Tom Gianni , File -RRB- less CHICAGO -LRB- AP -RRB- -- A XXXXX was sentenced to 14 years in prison Thursday for providing material support to overseas terrorism , including a Pakistani group whose 2008 attacks on Mumbai , India , left more than 160 people dead . ''","A Chicago businessman","businessman","sentenced","nsubjpass"
"1","'' -LRB- AP Photo \ \ \ \ / Tom Gianni , File -RRB- less CHICAGO -LRB- AP -RRB- -- A Chicago businessman was sentenced to 14 years in prison Thursday for providing material XXXXX to overseas terrorism , including a Pakistani group whose 2008 attacks on Mumbai , India , left more than 160 people dead . ''","material support","support","providing","dobj"
"1","'' -LRB- AP Photo \ \ \ \ / Tom Gianni , File -RRB- less CHICAGO -LRB- AP -RRB- -- A Chicago businessman was sentenced to 14 years in prison Thursday for providing material support to overseas terrorism , including a Pakistani group whose 2008 attacks on Mumbai , India , left more than 160 people dead . ''","India","India","Mumbai","appos"
"1","'' -LRB- AP Photo \ \ \ \ / Tom Gianni , File -RRB- less CHICAGO -LRB- AP -RRB- -- A Chicago businessman was sentenced to 14 years in prison Thursday for providing material support to overseas terrorism , including a Pakistani group whose 2008 attacks on Mumbai , India , left more XXXXX . ''","more than 160 people dead","people","left","dobj"
"1","'' -LRB- AP Photo \ \ \ \ / Tom Gianni , File -RRB- less CHICAGO -LRB- AP -RRB- -- A Chicago businessman was sentenced to 14 years in prison Thursday for providing material support to overseas terrorism , including XXXXX . ''","including a Pakistani group whose 2008 attacks on Mumbai , India , left more than 160 people dead","attacks","left","nsubj"
"2","`` CHICAGO -LRB- XXXXX  $ '' A Chicago businessman has been sentenced to 14 years in prison for providing material support to a terrorist group that staged the 2008 attacks on Mumbai , India , that left more than 160 people dead . ''","-LRB- AP -RRB-","AP","CHICAGO","appos"
"2","`` CHICAGO -LRB- AP -RRB-  $ '' A XXXXX has been sentenced to 14 years in prison for providing material support to a terrorist group that staged the 2008 attacks on Mumbai , India , that left more than 160 people dead . ''","A Chicago businessman","businessman","sentenced","nsubjpass"
"2","`` CHICAGO -LRB- AP -RRB-  $ '' A Chicago businessman has been sentenced to 14 years in prison for providing material XXXXX to a terrorist group that staged the 2008 attacks on Mumbai , India , that left more than 160 people dead . ''","material support","support","providing","dobj"
"2","`` CHICAGO -LRB- AP -RRB-  $ '' A Chicago businessman has been sentenced to 14 years in prison for providing material support to a terrorist group that staged the XXXXX . ''","the 2008 attacks on Mumbai , India , that left more than 160 people dead","attacks","staged","dobj"
"2","`` CHICAGO -LRB- AP -RRB-  $ '' A Chicago businessman has been sentenced to 14 years in prison for providing material support to XXXXX staged the 2008 attacks on Mumbai , India , that left more than 160 people dead . ''","to a terrorist group that","group","staged","nsubj"
"2","`` CHICAGO -LRB- AP -RRB-  $ '' A Chicago businessman has been sentenced to 14 years in prison for providing material support to a terrorist group that staged the 2008 attacks on Mumbai , India , that left more than 160 people dead . ''","India","India","Mumbai","appos"
"2","`` CHICAGO -LRB- AP -RRB-  $ '' A Chicago businessman has been sentenced to 14 years in prison for providing material support to a terrorist group that staged the 2008 attacks on XXXXX left more than 160 people dead . ''","on Mumbai , India , that","Mumbai","left","nsubj"
"2","`` CHICAGO -LRB- AP -RRB-  $ '' A Chicago businessman has been sentenced to 14 years in prison for providing material support to a terrorist group that staged the 2008 attacks on Mumbai , India , that left more XXXXX . ''","more than 160 people dead","people","left","dobj"
"3","`` A XXXXX was sentenced to 14 years in prison Thursday for providing material support to overseas terrorism , including a Pakistani group whose 2008 attacks in Mumbai , India , left more than 160 people dead . ''","A Chicago businessman","businessman","sentenced","nsubjpass"
"3","`` A Chicago businessman was sentenced to 14 years in prison Thursday for providing material XXXXX to overseas terrorism , including a Pakistani group whose 2008 attacks in Mumbai , India , left more than 160 people dead . ''","material support","support","providing","dobj"
"3","`` A Chicago businessman was sentenced to 14 years in prison Thursday for providing material support to overseas terrorism , including a Pakistani group whose 2008 attacks in Mumbai , India , left more than 160 people dead . ''","India","India","Mumbai","appos"
