"Index","Sentence","Mention","Mention Head","Head POS","Label->Gov"
"1:0/5","In January 2012 , <a>XXXX</a> debuted his own cooking show , Not My Mama 's Meals , on the Cooking Channel , in which he tweaks his mother 's recipes to recreate them in a healthier manner .","he","he","PRP","nsubj -> debuted"
"1:1/5","In January 2012 , he debuted <a>XXXX</a> , Not My Mama 's Meals , on the Cooking Channel , in which he tweaks his mother 's recipes to recreate them in a healthier manner .","his own cooking show","show","NN","dobj -> debuted"
"1:2/5","In January 2012 , he debuted his own cooking show , Not My Mama 's Meals , on the Cooking Channel , in which <a>XXXX</a> tweaks his mother 's recipes to recreate them in a healthier manner .","he","he","PRP","nsubj -> tweaks"
"1:3/5","In January 2012 , he debuted his own cooking show , Not My Mama 's Meals , on the Cooking Channel , in which he tweaks <a>XXXX</a> to recreate them in a healthier manner .","his mother 's recipes","recipes","NNS","dobj -> tweaks"
"1:4/5","In January 2012 , he debuted his own cooking show , Not My Mama 's Meals , on the Cooking Channel , in which he tweaks his mother 's recipes to recreate <a>XXXX</a> in a healthier manner .","them","them","PRP","dobj -> recreate"
"2:0/1","In 1935 , <a>XXXX</a> moved to Maximilien Luce 's old studio on the Avenue du Maine in Paris .","he","he","PRP","nsubj -> moved"
"3:0/1","In 2008 , <a>XXXX</a> advanced to the national championship game , their first under his leadership .","Calipari 's Tigers","Tigers","NNP","nsubj -> advanced"
"4:0/8","In 2004 Martin Gallon , <a>XXXX</a> , commented `` His close attention to detail is reminiscent of the work of the Pre-Raphaelites whose principal aim was to paint from nature as closely as possible ; in Ramsay 's work , one can see resonances of this aim , yet its simplistic beauty and close observation challenges our senses .","the British fine art expert","expert","NN","nsubj -> commented"
"4:1/8","In 2004 Martin Gallon , the British fine art expert , commented `` <a>XXXX</a> is reminiscent of the work of the Pre-Raphaelites whose principal aim was to paint from nature as closely as possible ; in Ramsay 's work , one can see resonances of this aim , yet its simplistic beauty and close observation challenges our senses .","His close attention to detail","attention","NN","nsubj -> reminiscent"
"4:2/8","In 2004 Martin Gallon , the British fine art expert , commented `` His close attention to detail is reminiscent of the work <a>XXXX</a> ; in Ramsay 's work , one can see resonances of this aim , yet its simplistic beauty and close observation challenges our senses .","of the Pre-Raphaelites whose principal aim was to paint from nature as closely as possible","aim","NN","nsubj -> was"
"4:3/8","In 2004 Martin Gallon , the British fine art expert , commented `` His close attention to detail is reminiscent of the work of the Pre-Raphaelites whose principal aim was to paint from nature as closely as possible ; in Ramsay 's work , one can see <a>XXXX</a> , yet its simplistic beauty and close observation challenges our senses .","resonances of this aim","resonances","NNS","dobj -> see"
"4:4/8","In 2004 Martin Gallon , the British fine art expert , commented `` His close attention to detail is reminiscent of the work of the Pre-Raphaelites whose principal aim was to paint from nature as closely as possible ; in Ramsay 's work , <a>XXXX</a> can see resonances of this aim , yet its simplistic beauty and close observation challenges our senses .","one","one","PRP","nsubj -> see"
"4:5/8","In 2004 Martin Gallon , the British fine art expert , commented `` His close attention to detail is reminiscent of the work of the Pre-Raphaelites whose principal aim was to paint from nature as closely as possible ; in Ramsay 's work , one can see resonances of this aim , <a>XXXX</a> challenges our senses .","yet its simplistic beauty and close observation","beauty","NN","nsubj -> challenges"
"4:6/8","In 2004 Martin Gallon , the British fine art expert , commented `` His close attention to detail is reminiscent of the work of the Pre-Raphaelites whose principal aim was to paint from nature as closely as possible ; in Ramsay 's work , one can see resonances of this aim , yet its simplistic beauty and <a>XXXX</a> challenges our senses .","close observation","observation","NN","nsubj -> challenges"
"4:7/8","In 2004 Martin Gallon , the British fine art expert , commented `` His close attention to detail is reminiscent of the work of the Pre-Raphaelites whose principal aim was to paint from nature as closely as possible ; in Ramsay 's work , one can see resonances of this aim , yet its simplistic beauty and close observation challenges <a>XXXX</a> .","our senses","senses","NNS","dobj -> challenges"
"5:0/1","In 2005 , <a>XXXX</a> was listed as one of the top designers and architects by Western Interiors and Design magazine and was included in the top 100 list of American Interior Designers by House Beautiful magazine .","Brown","Brown","NNP","nsubjpass -> listed"
"6:0/1","In September 1874 , <a>XXXX</a> was elected unopposed to the Legislative Council 's Geraldton seat , on a policy platform of opposition to responsible government .","Brown","Brown","NNP","nsubjpass -> elected"
"7:0/2","By 1926 <a>XXXX</a> handled press relations for their Banff Springs Hotel .","he","he","PRP","nsubj -> handled"
"7:1/2","By 1926 he handled <a>XXXX</a> .","press relations for their Banff Springs Hotel","relations","NNS","dobj -> handled"
"8:0/4","<a>XXXX</a> married in 1925 at the age of 19 , and had a son , Lev , the following year .","He","He","PRP","nsubj -> married"
"8:1/4","He married in 1925 at the age of 19 , and had <a>XXXX</a> .","a son , Lev , the following year","son","NN","dobj -> had"
"8:2/4","He married in 1925 at the age of 19 , and had a son , <a>XXXX</a> , the following year .","Lev","Lev","NNP","appos -> son"
"8:3/4","He married in 1925 at the age of 19 , and had a son , Lev , <a>XXXX</a> .","the following year","year","NN","appos -> son"
"9:0/3","In 2008 , <a>XXXX</a> was awarded an honorary Doctor of Letters -LRB- DLitt -RRB- from the University of Exeter .","Mayall","Mayall","NNP","nsubjpass -> awarded"
"9:1/3","In 2008 , Mayall was awarded <a>XXXX</a> from the University of Exeter .","an honorary Doctor of Letters -LRB- DLitt -RRB-","Doctor","NN","dobj -> awarded"
"9:2/3","In 2008 , Mayall was awarded an honorary Doctor of Letters <a>XXXX</a> from the University of Exeter .","-LRB- DLitt -RRB-","DLitt","NN","appos -> Letters"
"10:0/2","<a>XXXX</a> made his Sunderland debut in a 2 -- 2 draw against Birmingham City on 15 August 2010 , and was named man of the match for his performance .","Mignolet","Mignolet","NNP","nsubj -> made"
"10:1/2","Mignolet made <a>XXXX</a> in a 2 -- 2 draw against Birmingham City on 15 August 2010 , and was named man of the match for his performance .","his Sunderland debut","debut","NN","dobj -> made"
"11:0/2","<a>XXXX</a> died in Chicago , Illinois , December 17 , 1940 .","McGavin","McGavin","NNP","nsubj -> died"
"11:1/2","McGavin died in Chicago , <a>XXXX</a> , December 17 , 1940 .","Illinois","Illinois","NNP","appos -> Chicago"
"12:0/2","During his business trips to New York to finance <a>XXXX</a> , Mason became acquainted with Julia Phelps and the two married on November 1 , 1838 .","his internal improvements program","program","NN","dobj -> finance"
"12:1/2","During his business trips to New York to finance his internal improvements program , <a>XXXX</a> became acquainted with Julia Phelps and the two married on November 1 , 1838 .","Mason","Mason","NNP","nsubj -> became"
"13:0/1","<a>XXXX</a> starred in the 2010 remake of A Nightmare on Elm Street , released on April 30 , 2010 .","He","He","PRP","nsubj -> starred"
"14:0/4","<a>XXXX</a> was commonly criticized for aggressive play-calling in 2011 , and the calls for a pass-happy offense led to Cutler getting repeatedly sacked , including an incident in Week 2 against the New Orleans Saints , in which Cutler was sacked 6 times , and was also kicked in the throat .","Offensive coordinator Mike Martz","Martz","NNP","nsubjpass -> criticized"
"14:1/4","Offensive coordinator Mike Martz was commonly criticized for aggressive play-calling in 2011 , and <a>XXXX</a> led to Cutler getting repeatedly sacked , including an incident in Week 2 against the New Orleans Saints , in which Cutler was sacked 6 times , and was also kicked in the throat .","the calls for a pass-happy offense","calls","NNS","nsubj -> led"
"14:2/4","Offensive coordinator Mike Martz was commonly criticized for aggressive play-calling in 2011 , and the calls for a pass-happy offense led to Cutler getting repeatedly sacked , including an incident in Week 2 against the New Orleans Saints , in which <a>XXXX</a> was sacked 6 times , and was also kicked in the throat .","Cutler","Cutler","NNP","nsubjpass -> sacked"
"14:3/4","Offensive coordinator Mike Martz was commonly criticized for aggressive play-calling in 2011 , and the calls for a pass-happy offense led to Cutler getting repeatedly sacked , including an incident in Week 2 against the New Orleans Saints , in which Cutler was sacked <a>XXXX</a> , and was also kicked in the throat .","6 times","times","NNS","dobj -> sacked"
"15:0/3","<a>XXXX</a> graduated in 1946 ; Drexel later honored him with many alumni awards .","He","He","PRP","nsubj -> graduated"
"15:1/3","He graduated in 1946 ; <a>XXXX</a> later honored him with many alumni awards .","Drexel","Drexel","NNP","nsubj -> honored"
"15:2/3","He graduated in 1946 ; Drexel later honored <a>XXXX</a> with many alumni awards .","him","him","PRP","dobj -> honored"
"16:0/1","= = Death = = <a>XXXX</a> died on July 12 , 1898 at 79 years of age .","He","He","PRP","nsubj -> died"
"17:0/3","= = <a>XXXX</a> = = On January 1 , 1960 , at about 5:30 p. m. , Sullavan was found in bed , barely alive and unconscious , in a hotel room in New Haven , Connecticut .","Death","Death","NN","nsubjpass -> found"
"17:1/3","= = Death = = On January 1 , 1960 , at about 5:30 p. m. , <a>XXXX</a> was found in bed , barely alive and unconscious , in a hotel room in New Haven , Connecticut .","Sullavan","Sullavan","NNP","nsubjpass -> found"
